('185.56.80.65        ', ': \xc2\xa0', 175000)
('51.255.86.130       ', ': \xc2\xa0', 140000)
('176.9.98.108        ', ': \xc2\xa0', 140000)
('212.51.139.36       ', ': \xc2\xa0', 130000)
('162.247.74.200      ', ': \xc2\xa0', 120000)
('188.127.69.60       ', ': \xc2\xa0', 120000)
('178.63.40.189       ', ': \xc2\xa0', 120000)
('116.202.155.223     ', ': \xc2\xa0', 110000)
('185.31.175.215      ', ': \xc2\xa0', 110000)
('78.46.128.136       ', ': \xc2\xa0', 110000)
('185.31.175.226      ', ': \xc2\xa0', 110000)
('85.25.185.17        ', ': \xc2\xa0', 110000)
('46.4.66.178         ', ': \xc2\xa0', 100000)
('5.9.120.18          ', ': \xc2\xa0', 100000)
('54.36.166.86        ', ': \xc2\xa0', 100000)
('144.76.196.92       ', ': \xc2\xa0', 100000)
('109.238.11.185      ', ': \xc2\xa0', 100000)
('157.90.179.103      ', ': \xc2\xa0', 99000)
('5.39.73.41          ', ': \xc2\xa0', 99000)
('172.106.112.250     ', ': \xc2\xa0', 99000)
('141.20.103.33       ', ': \xc2\xa0', 98200)
('85.10.200.109       ', ': \xc2\xa0', 97000)
('148.251.183.205     ', ': \xc2\xa0', 96000)
('185.31.175.240      ', ': \xc2\xa0', 95000)
('185.177.127.34      ', ': \xc2\xa0', 95000)
('45.12.134.107       ', ': \xc2\xa0', 94000)
('185.149.207.70      ', ': \xc2\xa0', 93800)
('51.91.73.194        ', ': \xc2\xa0', 93000)
('51.81.93.108        ', ': \xc2\xa0', 93000)
('185.213.21.11       ', ': \xc2\xa0', 92000)
('95.217.83.182       ', ': \xc2\xa0', 91500)
('138.201.169.12      ', ': \xc2\xa0', 91000)
('185.163.204.206     ', ': \xc2\xa0', 89000)
('148.251.190.229     ', ': \xc2\xa0', 88000)
('45.153.160.135      ', ': \xc2\xa0', 88000)
('176.9.161.22        ', ': \xc2\xa0', 88000)
('54.38.92.43         ', ': \xc2\xa0', 87000)
('185.31.175.231      ', ': \xc2\xa0', 87000)
('98.128.172.245      ', ': \xc2\xa0', 85000)
('185.220.100.243     ', ': \xc2\xa0', 85000)
('142.44.156.132      ', ': \xc2\xa0', 83000)
('5.2.69.50           ', ': \xc2\xa0', 83000)
('83.136.106.223      ', ': \xc2\xa0', 83000)
('213.113.4.171       ', ': \xc2\xa0', 82000)
('116.202.55.100      ', ': \xc2\xa0', 82000)
('45.35.192.14        ', ': \xc2\xa0', 82000)
('162.251.116.2       ', ': \xc2\xa0', 81000)
('31.164.191.83       ', ': \xc2\xa0', 81000)
('51.81.56.228        ', ': \xc2\xa0', 80000)
('45.35.194.162       ', ': \xc2\xa0', 80000)
('198.24.168.226      ', ': \xc2\xa0', 79000)
('144.76.107.94       ', ': \xc2\xa0', 79000)
('148.251.191.252     ', ': \xc2\xa0', 79000)
('185.31.175.228      ', ': \xc2\xa0', 78000)
('95.216.33.30        ', ': \xc2\xa0', 78000)
('162.55.91.19        ', ': \xc2\xa0', 77000)
('80.211.185.65       ', ': \xc2\xa0', 77000)
('85.208.97.34        ', ': \xc2\xa0', 77000)
('185.31.175.207      ', ': \xc2\xa0', 77000)
('144.76.203.38       ', ': \xc2\xa0', 77000)
('138.201.122.55      ', ': \xc2\xa0', 76000)
('144.76.223.240      ', ': \xc2\xa0', 75700)
('88.196.80.132       ', ': \xc2\xa0', 75000)
('185.21.216.195      ', ': \xc2\xa0', 74100)
('185.31.175.213      ', ': \xc2\xa0', 74000)
('198.50.191.95       ', ': \xc2\xa0', 74000)
('185.31.175.235      ', ': \xc2\xa0', 73000)
('148.251.237.219     ', ': \xc2\xa0', 73000)
('94.130.239.50       ', ': \xc2\xa0', 72000)
('217.61.218.70       ', ': \xc2\xa0', 72000)
('91.223.82.197       ', ': \xc2\xa0', 72000)
('185.31.175.243      ', ': \xc2\xa0', 72000)
('138.201.250.33      ', ': \xc2\xa0', 72000)
('5.9.117.222         ', ': \xc2\xa0', 71000)
('185.31.175.220      ', ': \xc2\xa0', 71000)
('192.166.245.119     ', ': \xc2\xa0', 71000)
('148.251.11.21       ', ': \xc2\xa0', 71000)
('51.83.237.59        ', ': \xc2\xa0', 70000)
('185.21.217.32       ', ': \xc2\xa0', 70000)
('148.251.22.104      ', ': \xc2\xa0', 70000)
('162.247.74.216      ', ': \xc2\xa0', 70000)
('62.210.97.21        ', ': \xc2\xa0', 70000)
('95.216.33.58        ', ': \xc2\xa0', 70000)
('66.23.202.234       ', ': \xc2\xa0', 69000)
('144.76.200.80       ', ': \xc2\xa0', 69000)
('185.21.217.60       ', ': \xc2\xa0', 69000)
('51.81.93.109        ', ': \xc2\xa0', 69000)
('85.195.230.249      ', ': \xc2\xa0', 68300)
('45.153.160.131      ', ': \xc2\xa0', 68000)
('85.195.255.85       ', ': \xc2\xa0', 68000)
('5.9.121.207         ', ': \xc2\xa0', 68000)
('185.31.175.252      ', ': \xc2\xa0', 68000)
('136.243.229.6       ', ': \xc2\xa0', 68000)
('95.216.3.171        ', ': \xc2\xa0', 68000)
('37.187.196.70       ', ': \xc2\xa0', 68000)
('172.106.200.150     ', ': \xc2\xa0', 67000)
('149.56.185.56       ', ': \xc2\xa0', 67000)
('85.208.97.42        ', ': \xc2\xa0', 67000)
('54.36.227.247       ', ': \xc2\xa0', 67000)
('178.63.41.58        ', ': \xc2\xa0', 67000)
('Existing nodes: ', 6403)
